xid,name,city,wiki_link,wikipedia_extracts,rating,google_id,opening_hours
R9396191,Mémorial des Martyrs de la Déportation,Paris,https://en.wikipedia.org/wiki/M%C3%A9morial%20des%20Martyrs%20de%20la%20D%C3%A9portation,"{'title': 'en:Mémorial des Martyrs de la Déportation', 'text': 'The Mémorial des Martyrs de la Déportation (English: ""Memorial to the Martyrs of the Deportation"") is a memorial to the 200,000 people who were deported from Vichy France to the Nazi concentration camps during World War II. It is located in Paris, France, on the site of a former morgue, underground behind Notre Dame on Île de la Cité. It was designed by French modernist architect Georges-Henri Pingusson and was inaugurated by Charles de Gaulle in 1962.', 'html': '<p>The <b>Mémorial des Martyrs de la Déportation</b> (English: <span lang=""en"">""Memorial to the Martyrs of the Deportation""</span>) is a memorial to the 200,000 people who were deported from Vichy France to the Nazi concentration camps during World War II. It is located in Paris, France, on the site of a former morgue, underground behind Notre Dame on Île de la Cité. It was designed by French modernist architect Georges-Henri Pingusson and was inaugurated by Charles de Gaulle in 1962.</p>'}",4.5,ChIJ6wL0dfxx5kcRmtWV3jmG0mY,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']"
N910390736,Conciergerie,Paris,https://en.wikipedia.org/wiki/Conciergerie,"{'title': 'en:Conciergerie', 'text': 'The Conciergerie (French pronunciation: [kɔ̃sjɛʁʒəʁi]) is a former courthouse and prison in Paris, France, located on the west of the Île de la Cité, It was originally part of the former royal palace, the Palais de la Cité, which also included the Sainte-Chapelle. Two large medieval halls remain from the royal palace. During the French Revolution, 2,780 prisoners, including Marie-Antoinette, were imprisoned, tried and sentenced at the Concieregerie, then sent to different sites to be executed by the guillotine. It is now a national monument and museum.', 'html': '<p>The <b>Conciergerie</b> (<small>French pronunciation:&nbsp;\u200b</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[kɔ̃sjɛʁʒəʁi]</span>) is a former courthouse and prison in Paris, France, located on the west of the Île de la Cité, It was originally part of the former royal palace, the Palais de la Cité, which also included the Sainte-Chapelle. Two large medieval halls remain from the royal palace. During the French Revolution, 2,780 prisoners, including Marie-Antoinette, were imprisoned, tried and sentenced at the Concieregerie, then sent to different sites to be executed by the guillotine. It is now a national monument and museum.</p>'}",4.4,ChIJR3122B9u5kcRajG2bEZLypA,"['Monday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20096:00\u202fPM']"
W40579862,Fontaine Saint-Michel,Paris,https://en.wikipedia.org/wiki/Fontaine%20Saint-Michel,"{'title': 'en:Fontaine Saint-Michel', 'text': 'The Fontaine Saint-Michel (French pronunciation: [fɔ̃.tɛn sɛ̃.mi.ʃɛl]) is a monumental fountain located in Place Saint-Michel in the 6th arrondissement in Paris. It was constructed in 1858–1860 during the French Second Empire by the architect Gabriel Davioud. It has been listed since 1926 as a monument historique by the French Ministry of Culture.', 'html': '<p>The <b>Fontaine Saint-Michel</b> (<small>French pronunciation:&nbsp;\u200b</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[fɔ̃.tɛn sɛ̃.mi.ʃɛl]</span>) is a monumental fountain located in Place Saint-Michel in the 6th arrondissement in Paris. It was constructed in 1858–1860 during the French Second Empire by the architect Gabriel Davioud. It has been listed since 1926 as a <i>monument historique</i> by the French Ministry of Culture.</p>'}",4.3,ChIJM79fJd5x5kcRxEjMn9CzSLs,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
W311085062,Fontaine Saint-Michel,Paris,https://en.wikipedia.org/wiki/Fontaine%20Saint-Michel,"{'title': 'en:Fontaine Saint-Michel', 'text': 'The Fontaine Saint-Michel (French pronunciation: [fɔ̃.tɛn sɛ̃.mi.ʃɛl]) is a monumental fountain located in Place Saint-Michel in the 6th arrondissement in Paris. It was constructed in 1858–1860 during the French Second Empire by the architect Gabriel Davioud. It has been listed since 1926 as a monument historique by the French Ministry of Culture.', 'html': '<p>The <b>Fontaine Saint-Michel</b> (<small>French pronunciation:&nbsp;\u200b</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[fɔ̃.tɛn sɛ̃.mi.ʃɛl]</span>) is a monumental fountain located in Place Saint-Michel in the 6th arrondissement in Paris. It was constructed in 1858–1860 during the French Second Empire by the architect Gabriel Davioud. It has been listed since 1926 as a <i>monument historique</i> by the French Ministry of Culture.</p>'}",4.3,ChIJM79fJd5x5kcRxEjMn9CzSLs,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
N2667068593,Fontaine du Palmier,Paris,https://en.wikipedia.org/wiki/Fontaine%20du%20Palmier,"{'title': 'en:Fontaine du Palmier', 'text': ""The Fontaine du Palmier (1806-1808) or Fontaine de la Victoire is a monumental fountain located in the Place du Châtelet, between the Théâtre du Châtelet and the Théâtre de la Ville, in the First Arrondissement of Paris. It was designed to provide fresh drinking water to the population of the neighborhood and to commemorate the victories of Napoleon Bonaparte. It is the largest fountain built during Napoleon's reign still in existence. The closest métro station is Châtelet"", 'html': ""<p>The <b>Fontaine du Palmier</b> (1806-1808) or <b>Fontaine de la Victoire</b> is a monumental fountain located in the Place du Châtelet, between the Théâtre du Châtelet and the Théâtre de la Ville, in the First Arrondissement of Paris. It was designed to provide fresh drinking water to the population of the neighborhood and to commemorate the victories of Napoleon Bonaparte. It is the largest fountain built during Napoleon's reign still in existence. The closest métro station is Châtelet</p>""}",4.2,ChIJb6fChYBv5kcRLdvMz778BBQ,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
W124052479,Mémorial de la Shoah,Paris,https://en.wikipedia.org/wiki/M%C3%A9morial%20de%20la%20Shoah,"{'title': 'en:Mémorial de la Shoah', 'text': 'Mémorial de la Shoah is the Holocaust museum in Paris, France. The memorial is in the 4th arrondissement of Paris, in the Marais district, which had a large Jewish population at the beginning of World War II.The memorial was opened, by President Jacques Chirac, on 27 January 2005. This day was chosen to coincide with International Holocaust Remembrance Day and the 60th anniversary of the liberation of Auschwitz concentration camp. The memorial underwent a major renovation in 2005, creating exhibition spaces, a multimedia center, and a reading room.', 'html': '<p><b>Mémorial de la Shoah</b> is the Holocaust museum in Paris, France. The memorial is in the 4th arrondissement of Paris, in the Marais district, which had a large Jewish population at the beginning of World War II.</p><p>The memorial was opened, by President Jacques Chirac, on 27 January 2005. This day was chosen to coincide with International Holocaust Remembrance Day and the 60th anniversary of the liberation of Auschwitz concentration camp. The memorial underwent a major renovation in 2005, creating exhibition spaces, a multimedia center, and a reading room.</p>'}",4.6,ChIJdcX8Rv1x5kcRBvVYdVfeAsk,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
N8784458609,maison d'Ourscamp,Paris,https://fr.wikipedia.org/wiki/H%C3%B4tel%20d%27Ourscamp,"{'title': ""fr:Hôtel d'Ourscamp"", 'text': ""L'hôtel d'Ourscamp, dit aussi maison de Marsande, ou maison de l'Ours, est un bâtiment historique situé aux nos 44 et 46, rue François-Miron dans le 4e arrondissement de Paris, en France.C’est en 1248 que les moines cisterciens de l’abbaye Notre-Dame d’Ourscamp reçoivent en donation un terrain dans l’angle formé par la rue Saint-Antoine (actuelle rue François-Miron) et la rue Geoffroy-l’Asnier à Paris.La maison est reconstruite à la fin du XVIe siècle, sans doute vers 1585."", 'html': '<p>L\'<b>hôtel d\'Ourscamp</b>, dit aussi <b>maison de Marsande</b>, ou <b>maison de l\'Ours</b>, est un bâtiment historique situé aux <abbr class=""abbr"" title=""numéros"">n<sup>os</sup></abbr>&nbsp;44 et 46, rue François-Miron dans le <abbr class=""abbr"" title=""Quatrième"">4<sup>e</sup></abbr>&nbsp;arrondissement de Paris, en France.</p><p>C’est en 1248 que les moines cisterciens de l’abbaye Notre-Dame d’Ourscamp reçoivent en donation un terrain dans l’angle formé par la rue Saint-Antoine (actuelle rue François-Miron) et la rue Geoffroy-l’Asnier à Paris.</p><p>La maison est reconstruite à la fin du <abbr class=""abbr"" title=""16ᵉ siècle""><span>XVI</span><sup style=""font-size:72%"">e</sup></abbr>&nbsp;siècle, sans doute vers 1585.</p>'}",4.7,ChIJjWbcZv1x5kcRNo8ipDnbCN8,"['Monday: 1:00\u2009–\u20096:00\u202fPM', 'Tuesday: 1:00\u2009–\u20096:00\u202fPM', 'Wednesday: 1:00\u2009–\u20096:00\u202fPM', 'Thursday: 1:00\u2009–\u20096:00\u202fPM', 'Friday: 1:00\u2009–\u20096:00\u202fPM', 'Saturday: 12:00\u2009–\u20097:00\u202fPM', 'Sunday: 3:00\u2009–\u20096:00\u202fPM']"
W791935186,Panthéon,Paris,https://en.wikipedia.org/wiki/Panth%C3%A9on,"{'title': 'en:Panthéon', 'text': ""The Panthéon (French: [pɑ̃.te.ɔ̃], from the Classical Greek word πάνθειον, pántheion, '[temple] to all the gods') is a monument in the 5th arrondissement of Paris, France. It stands in the Latin Quarter, atop the Montagne Sainte-Geneviève, in the centre of the Place du Panthéon, which was named after it. The edifice was built between 1758 and 1790, from designs by Jacques-Germain Soufflot, at the behest of King Louis XV of France; the king intended it as a church dedicated to Saint Genevieve, Paris' patron saint, whose relics were to be housed in the church. Neither Soufflot nor Louis XV lived to see the church completed."", 'html': '<p>The <b>Panthéon</b> (<small>French:&nbsp;</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[pɑ̃.te.ɔ̃]</span>, from the Classical Greek word <span lang=""el"" title=""Greek-language text"">πάνθειον</span>, <i lang=""el-Latn"" title=""Greek-language romanization"">pántheion</i>, \'[temple] to all the gods\') is a monument in the 5th arrondissement of Paris, France. It stands in the Latin Quarter, atop the Montagne Sainte-Geneviève, in the centre of the Place du Panthéon, which was named after it. The edifice was built between 1758 and 1790, from designs by Jacques-Germain Soufflot, at the behest of King Louis XV of France; the king intended it as a church dedicated to Saint Genevieve, Paris\' patron saint, whose relics were to be housed in the church. Neither Soufflot nor Louis XV lived to see the church completed.</p>'}",4.8,ChIJqUCGZ09gLxMRLM42IPpl0co,"['Monday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:45\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:45\u202fPM']"
W55541122,Hôtel de Sens,Paris,https://en.wikipedia.org/wiki/H%C3%B4tel%20de%20Sens,"{'title': 'en:Hôtel de Sens', 'text': 'The Hôtel de Sens (French pronunciation: [otɛl də sɑ̃s]) or Hôtel des archevêques de Sens is a medieval hôtel particulier, or private mansion, in the Marais, in the 4th arrondissement of Paris, France. It nowadays houses the Forney art library.The hôtel was built to serve as a residence for the archbishops of Sens. Before 1622, Paris was not a specific archdiocese, and depended on the diocesan authority of Sens. The archbishop was a prominent figure of power, his residence reflecting his influence within the urban landscape.', 'html': '<p>The <b>Hôtel de Sens</b> (<small>French pronunciation:&nbsp;\u200b</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[otɛl də sɑ̃s]</span>) or <b>Hôtel des archevêques de Sens</b> is a medieval <i>hôtel particulier</i>, or private mansion, in the Marais, in the 4th arrondissement of Paris, France. It nowadays houses the Forney art library.</p><p>The <i>hôtel</i> was built to serve as a residence for the archbishops of Sens. Before 1622, Paris was not a specific<b> </b>archdiocese, and depended on the diocesan<b> </b>authority of Sens. The archbishop was a prominent figure of power, his residence reflecting his influence within the urban landscape.</p>'}",4.5,ChIJvzDrq_1x5kcRFc9gDmQac24,"['Monday: Closed', 'Tuesday: 1:00\u2009–\u20097:00\u202fPM', 'Wednesday: 1:00\u2009–\u20097:00\u202fPM', 'Thursday: 1:00\u2009–\u20097:00\u202fPM', 'Friday: 1:00\u2009–\u20097:00\u202fPM', 'Saturday: 1:00\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
N3611368951,Enceinte de Philippe-Auguste,Paris,https://fr.wikipedia.org/wiki/Enceinte%20de%20Philippe%20Auguste,"{'title': 'fr:Enceinte de Philippe Auguste', 'text': ""L’enceinte de Philippe Auguste est un système de fortification urbaine construit à Paris, à partir de la fin du XIIe siècle. Cette deuxième enceinte médiévale est la plus ancienne dont on connaisse le tracé avec précision,,.Très partiellement intégrée dans les constructions ultérieures, cette enceinte a laissé plus de vestiges que les fortifications suivantes, notamment l'enceinte de Charles V et l'enceinte des Fossés Jaunes remplacés par les grands boulevards après 1670, le mur des Fermiers Généraux et l'enceinte de Thiers également à l'origine de ceintures de boulevards au XIXe siècle et au XXe siècle.Son empreinte sur le plan de Paris, moins visible, n'en est pas moins importante :"", 'html': '<p><br> L’<b>enceinte de Philippe Auguste</b> est un système de fortification urbaine construit à Paris, à partir de la fin du <abbr class=""abbr"" title=""12ᵉ siècle""><span>XII</span><sup style=""font-size:72%"">e</sup></abbr>&nbsp;siècle. Cette deuxième enceinte médiévale est la plus ancienne dont on connaisse le tracé avec précision<sup class=""reference cite_virgule"">,</sup><sup class=""reference cite_virgule"">,</sup>.</p><p>Très partiellement intégrée dans les constructions ultérieures, cette enceinte a laissé plus de vestiges que les fortifications suivantes, notamment l\'enceinte de Charles V et l\'enceinte des Fossés Jaunes remplacés par les grands boulevards après 1670, le mur des Fermiers Généraux et l\'enceinte de Thiers également à l\'origine de ceintures de boulevards au <abbr class=""abbr"" title=""19ᵉ siècle""><span>XIX</span><sup style=""font-size:72%"">e</sup></abbr>&nbsp;siècle et au <abbr class=""abbr"" title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr>&nbsp;siècle.</p><p>Son empreinte sur le plan de Paris, moins visible, n\'en est pas moins importante&nbsp;:</p>'}",4.2,ChIJ7wKi-OVx5kcRvVllyqXd2qI,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
